Member_ID,YEAR,TotalTxn,TotalQty,TotalSpend,MaxSaleDate,Mode_ProductCategory
M000019,2025,9,18,883.61,2025-03-21,Merchandise
M000020,2021,3,6,504.46,2021-12-19,Pastry
M000020,2022,2,2,222.22,2022-12-02,Sandwich
M000020,2023,4,8,581.5,2023-12-03,Pastry
M000020,2024,2,6,127.3,2024-12-01,Pastry
M000020,2025,3,3,252.27,2025-03-04,Pastry
M000021,2024,8,16,2116.94,2024-12-28,Sandwich
M000021,2025,9,18,878.21,2025-03-19,Sandwich
M000022,2023,4,4,755.38,2023-12-14,Coffee
M000022,2024,5,5,1430.48,2024-12-09,Merchandise
M000022,2025,3,3,344.53,2025-03-11,Beverage
M000023,2021,1,1,105.71,2021-12-18,Dessert
M000023,2022,2,4,545.12,2022-12-07,Beverage
M000023,2023,2,2,528.99,2023-12-07,Sandwich
M000023,2024,2,4,303.29,2024-12-21,Coffee
M000024,2024,9,18,1584.98,2024-12-23,Merchandise
M000024,2025,8,24,2062.39,2025-03-02,Dessert
M000025,2023,10,20,2276.89,2023-12-05,Dessert
M000025,2024,8,24,2318.53,2024-12-05,Merchandise
M000026,2022,14,14,2330.36,2022-12-07,Coffee
M000026,2023,15,15,1331.87,2023-12-18,Sandwich
M000026,2024,12,12,3045.2,2024-12-20,Sandwich
M000026,2025,15,15,2431.71,2025-03-11,Merchandise
M000027,2022,2,2,200.52,2022-12-17,Pastry
M000027,2023,2,2,168.15,2023-12-05,Sandwich
M000027,2024,1,1,101.1,2024-12-01,Pastry
M000027,2025,4,8,640.97,2025-03-24,Merchandise
M000028,2023,8,16,1130.4,2023-12-27,Coffee
M000028,2024,8,8,1951.81,2024-12-20,Dessert
M000028,2025,7,7,1922.63,2025-03-02,Pastry
M000029,2021,7,7,448.09,2021-12-06,Pastry
M000029,2022,9,18,2286.15,2022-12-06,Pastry
M000029,2024,6,6,490.58,2024-12-10,Beverage
M000030,2022,1,1,163.55,2022-12-06,Pastry
M000030,2023,2,4,126.06,2023-12-12,Coffee
M000030,2024,4,8,860.55,2024-12-18,Beverage
M000030,2025,1,2,210.55,2025-03-23,Beverage
M000031,2025,7,14,535.27,2025-03-26,Dessert
M000032,2025,2,4,125.02,2025-03-12,Merchandise
M000033,2021,5,10,442.61,2021-12-22,Beverage
M000033,2022,3,9,804.16,2022-12-03,Pastry
M000033,2023,5,5,1253.33,2023-12-19,Merchandise
M000033,2024,4,12,481.75,2024-12-09,Dessert
M000033,2025,2,2,342.73,2025-03-21,Pastry
M000034,2025,44,44,10938.72,2025-03-04,Pastry
M000035,2025,21,21,3837.31,2025-03-17,Coffee
M000036,2023,15,45,2823.0,2023-12-26,Merchandise
M000036,2024,20,20,3272.07,2024-12-02,Beverage
M000036,2025,10,30,2831.33,2025-03-20,Pastry
M000037,2022,9,27,1838.81,2022-12-23,Sandwich
M000037,2023,7,21,1900.06,2023-12-25,Coffee
M000037,2024,6,6,513.16,2024-12-16,Beverage
M000037,2025,6,6,1136.33,2025-03-06,Pastry
M000038,2025,1,2,94.04,2025-03-22,Sandwich
M000039,2023,7,21,1888.37,2023-12-13,Pastry
M000039,2024,10,30,503.77,2024-12-18,Pastry
M000039,2025,7,14,878.57,2025-03-27,Coffee
M000040,2021,9,18,1594.29,2021-12-19,Sandwich
M000040,2023,5,10,1017.31,2023-12-13,Dessert
M000040,2024,5,15,1207.61,2024-12-11,Pastry
M000040,2025,8,16,914.76,2025-03-23,Pastry
M000041,2024,2,2,573.81,2024-12-20,Merchandise
M000041,2025,2,4,192.49,2025-03-16,Beverage
M000042,2025,6,6,1668.07,2025-03-19,Pastry
M000043,2023,4,8,742.74,2023-12-05,Dessert
M000043,2024,3,9,693.85,2024-12-06,Pastry
M000043,2025,1,1,130.65,2025-03-28,Beverage
M000044,2024,24,72,3106.48,2024-12-25,Merchandise
M000044,2025,32,32,5087.13,2025-03-15,Merchandise
M000045,2022,2,6,304.3,2022-12-27,Dessert
M000045,2023,2,2,315.73,2023-12-03,Sandwich
M000045,2024,5,15,283.83,2024-12-22,Dessert
M000045,2025,2,2,461.93,2025-03-08,Merchandise
M000046,2021,5,5,590.76,2021-12-18,Pastry
M000046,2022,6,6,1528.38,2022-12-03,Pastry
M000046,2023,5,5,1227.64,2023-12-12,Merchandise
M000046,2024,10,10,2278.07,2024-12-18,Pastry
M000046,2025,9,18,1655.52,2025-03-13,Sandwich
M000047,2021,5,15,387.17,2021-12-11,Sandwich
M000047,2022,5,10,636.63,2022-12-10,Pastry
M000047,2023,10,10,606.45,2023-12-13,Pastry
M000047,2024,9,18,1445.05,2024-12-17,Beverage
M000048,2024,10,20,2094.51,2024-12-10,Beverage
M000048,2025,10,10,1989.48,2025-03-24,Pastry
M000049,2024,10,10,779.48,2024-12-05,Merchandise
M000049,2025,6,6,412.66,2025-03-06,Coffee
M000050,2025,1,1,121.08,2025-03-20,Sandwich
M000051,2025,45,45,5415.8,2025-03-16,Dessert
M000052,2023,19,57,5062.75,2023-12-03,Beverage
M000052,2024,17,17,4357.87,2024-12-14,Dessert
M000052,2025,19,38,3682.99,2025-03-17,Coffee
M000053,2024,36,108,3592.46,2024-12-24,Dessert
M000054,2024,16,16,3750.0,2024-12-24,Pastry
M000054,2025,10,10,1369.59,2025-03-07,Merchandise
M000055,2022,7,7,1301.95,2022-12-07,Coffee
M000055,2024,6,12,666.41,2024-12-17,Pastry
M000055,2025,5,10,941.44,2025-03-06,Beverage
M000056,2025,39,39,8384.85,2025-03-19,Dessert
M000057,2024,4,8,733.98,2024-12-14,Pastry
M000057,2025,4,4,1057.79,2025-03-06,Dessert
M000058,2024,2,6,404.71,2024-12-13,Merchandise
M000058,2025,2,2,507.28,2025-03-14,Merchandise
M000059,2021,3,9,235.53,2021-12-21,Dessert
M000059,2022,4,4,597.65,2022-12-04,Pastry
M000059,2023,3,3,150.62,2023-12-03,Pastry
M000060,2022,6,6,1309.54,2022-12-28,Dessert
M000060,2023,6,12,1646.57,2023-12-15,Merchandise
M000060,2024,5,15,846.09,2024-12-23,Merchandise
M000060,2025,5,10,1440.83,2025-03-16,Beverage
M000061,2021,10,10,1556.23,2021-12-21,Merchandise
M000061,2022,9,9,464.12,2022-12-18,Dessert
M000061,2024,5,15,409.29,2024-12-20,Beverage
M000061,2025,5,10,1397.78,2025-03-23,Coffee
M000062,2023,5,10,974.44,2023-12-18,Merchandise
M000062,2024,3,6,645.56,2024-12-06,Merchandise
M000062,2025,2,6,295.39,2025-03-12,Merchandise
M000063,2025,16,48,2337.89,2025-03-06,Dessert
M000064,2024,9,9,761.32,2024-12-15,Pastry
M000064,2025,9,27,1722.38,2025-03-06,Sandwich
M000065,2022,5,10,1088.95,2022-12-21,Merchandise
M000065,2024,2,6,530.83,2024-12-01,Beverage
M000065,2025,4,4,964.83,2025-03-14,Beverage
M000066,2021,7,7,1687.82,2021-12-19,Dessert
M000066,2022,5,15,254.81,2022-12-26,Dessert
M000066,2023,10,30,1745.08,2023-12-18,Sandwich
M000066,2024,9,18,1362.66,2024-12-03,Dessert
M000067,2023,3,3,458.22,2023-12-08,Sandwich
M000067,2024,5,15,679.2,2024-12-13,Merchandise
M000067,2025,5,5,1496.55,2025-03-10,Dessert
M000068,2024,14,28,1806.13,2024-12-26,Dessert
M000068,2025,20,60,5031.02,2025-03-01,Sandwich
M000069,2025,1,1,91.01,2025-03-05,Beverage
M000070,2023,48,48,2616.94,2023-12-18,Pastry
M000070,2024,46,92,6423.55,2024-12-04,Pastry
M000071,2023,13,39,3264.62,2023-12-11,Beverage
M000071,2024,18,54,1966.33,2024-12-20,Merchandise
M000071,2025,11,33,1505.99,2025-03-28,Pastry
M000072,2022,3,3,185.43,2022-12-07,Coffee
M000072,2023,4,12,603.3,2023-12-19,Dessert
M000072,2024,2,2,555.58,2024-12-12,Beverage
M000072,2025,5,10,1209.07,2025-03-07,Beverage
M000073,2021,3,6,486.62,2021-12-02,Dessert
M000073,2022,1,3,79.58,2022-12-16,Pastry
M000073,2023,1,1,78.25,2023-12-25,Pastry
M000073,2024,1,1,107.73,2024-12-10,Sandwich
M000073,2025,3,3,601.09,2025-03-02,Beverage
M000074,2021,20,40,5773.46,2021-12-18,Beverage
M000074,2022,15,15,1878.31,2022-12-02,Beverage
M000074,2025,16,32,1347.71,2025-03-14,Pastry
M000075,2022,12,12,2426.97,2022-12-11,Pastry
M000075,2023,20,60,4299.53,2023-12-15,Coffee
M000075,2024,14,28,3852.68,2024-12-10,Dessert
M000075,2025,15,30,2989.83,2025-03-20,Beverage
M000076,2023,11,11,2019.54,2023-12-11,Coffee
M000076,2024,11,11,1340.54,2024-12-24,Sandwich
M000076,2025,12,36,3086.7,2025-03-20,Coffee
M000077,2022,12,12,3391.55,2022-12-03,Merchandise
M000077,2023,13,39,1115.36,2023-12-15,Beverage
M000077,2025,18,54,2008.71,2025-03-12,Dessert
M000078,2021,3,9,393.54,2021-12-06,Dessert
M000078,2022,2,6,520.85,2022-12-05,Merchandise
M000078,2023,1,2,78.91,2023-12-17,Sandwich
M000078,2024,5,5,810.78,2024-12-02,Sandwich
M000078,2025,5,15,308.95,2025-03-10,Dessert
M000079,2021,8,16,1014.51,2021-12-16,Pastry
M000079,2022,10,10,1391.56,2022-12-05,Sandwich
M000079,2023,9,27,2122.54,2023-12-24,Sandwich
M000079,2025,7,21,875.49,2025-03-26,Dessert
M000080,2025,3,6,785.55,2025-03-20,Pastry
M000081,2025,10,10,988.09,2025-03-17,Pastry
M000082,2025,5,15,501.3,2025-03-27,Merchandise
M000083,2022,9,9,1411.03,2022-12-02,Dessert
M000083,2023,9,9,2277.19,2023-12-18,Coffee
M000083,2024,6,12,1114.96,2024-12-07,Coffee
M000083,2025,9,18,863.9,2025-03-22,Coffee
M000084,2023,1,2,222.88,2023-12-14,Sandwich
M000084,2024,2,4,464.47,2024-12-16,Dessert
M000085,2023,7,14,1549.73,2023-12-07,Sandwich
M000085,2024,8,16,575.24,2024-12-16,Beverage
M000085,2025,6,18,1513.61,2025-03-19,Coffee
M000086,2022,6,6,1520.45,2022-12-05,Dessert
M000086,2023,7,14,1450.93,2023-12-14,Sandwich
M000086,2024,7,7,1416.78,2024-12-19,Dessert
M000086,2025,10,10,780.41,2025-03-18,Dessert
M000087,2024,17,17,3304.12,2024-12-18,Pastry
M000087,2025,20,60,2701.9,2025-03-04,Merchandise
M000088,2024,9,18,1943.04,2024-12-10,Sandwich
M000088,2025,7,14,834.64,2025-03-17,Dessert
M000089,2024,20,60,4620.99,2024-12-19,Sandwich
M000089,2025,18,36,4607.48,2025-03-16,Sandwich
M000090,2021,9,18,2147.03,2021-12-05,Dessert
M000090,2022,9,9,853.09,2022-12-03,Beverage
M000090,2023,8,24,1477.63,2023-12-22,Merchandise
M000090,2024,5,5,624.05,2024-12-18,Pastry
M000090,2025,8,8,1324.24,2025-03-11,Dessert
M000091,2025,3,6,758.16,2025-03-26,Sandwich
M000092,2024,13,26,2263.1,2024-12-28,Pastry
M000092,2025,16,48,1219.24,2025-03-06,Merchandise
M000093,2024,10,10,1820.41,2024-12-11,Beverage
M000093,2025,11,11,2139.84,2025-03-20,Beverage
M000094,2025,5,10,1431.58,2025-03-11,Dessert
M000095,2022,19,57,5305.37,2022-12-27,Merchandise
M000095,2023,12,12,1935.88,2023-12-19,Coffee
M000095,2024,12,36,3184.33,2024-12-14,Dessert
M000096,2024,10,30,1282.7,2024-12-17,Dessert
M000096,2025,10,20,2902.96,2025-03-01,Merchandise
M000097,2021,6,18,891.85,2021-12-24,Merchandise
M000097,2022,9,9,2221.35,2022-12-03,Coffee
M000097,2023,9,9,2368.87,2023-12-16,Sandwich
M000097,2025,6,18,939.89,2025-03-19,Coffee
M000098,2023,7,21,1745.8,2023-12-28,Dessert
M000098,2024,5,10,659.68,2024-12-05,Sandwich
M000098,2025,8,8,1200.92,2025-03-11,Merchandise
M000099,2021,5,10,507.05,2021-12-25,Beverage
M000099,2022,4,4,417.03,2022-12-12,Dessert
M000099,2023,4,12,445.35,2023-12-12,Pastry
M000099,2024,1,3,51.78,2024-12-11,Dessert
M000099,2025,4,4,566.72,2025-03-10,Beverage
M000100,2023,1,3,133.58,2023-12-13,Beverage
M000100,2024,4,12,385.94,2024-12-12,Coffee
M000101,2023,5,5,1075.03,2023-12-27,Dessert
M000101,2024,4,8,381.71,2024-12-01,Pastry
M000101,2025,4,12,578.21,2025-03-01,Sandwich
M000102,2022,7,7,1262.17,2022-12-13,Sandwich
M000102,2023,10,30,1530.52,2023-12-02,Coffee
M000102,2024,10,20,2897.25,2024-12-11,Merchandise
M000102,2025,7,21,1876.34,2025-03-21,Sandwich
M000103,2021,7,7,2056.8,2021-12-04,Coffee
M000103,2022,9,27,452.75,2022-12-16,Pastry
M000103,2023,8,8,1244.44,2023-12-28,Dessert
M000103,2024,7,21,803.54,2024-12-09,Beverage
M000104,2022,7,7,1971.49,2022-12-19,Beverage
M000104,2023,5,10,869.12,2023-12-09,Merchandise
M000104,2024,10,30,2066.74,2024-12-23,Coffee
M000104,2025,6,18,1104.87,2025-03-28,Sandwich
M000105,2025,36,72,8687.35,2025-03-28,Sandwich
M000106,2023,3,3,791.76,2023-12-08,Sandwich
M000106,2024,4,4,1045.86,2024-12-04,Beverage
M000106,2025,2,2,420.9,2025-03-14,Dessert
M000107,2022,5,5,1196.95,2022-12-27,Sandwich
M000107,2023,5,5,631.33,2023-12-07,Dessert
M000107,2024,9,9,1591.33,2024-12-07,Dessert
M000107,2025,10,30,1397.86,2025-03-17,Pastry
M000108,2021,13,26,1572.89,2021-12-16,Beverage
M000108,2023,10,30,531.14,2023-12-04,Sandwich
M000108,2025,10,10,1862.38,2025-03-13,Pastry
M000109,2025,2,2,561.91,2025-03-03,Merchandise
M000110,2022,2,2,405.61,2022-12-24,Merchandise
M000110,2023,4,4,207.32,2023-12-25,Sandwich
M000110,2024,4,12,791.57,2024-12-23,Sandwich
M000111,2023,2,6,421.62,2023-12-02,Dessert
M000111,2024,5,10,373.49,2024-12-21,Pastry
M000112,2023,1,3,232.55,2023-12-18,Beverage
M000112,2024,4,8,1065.55,2024-12-19,Beverage
M000112,2025,2,4,139.06,2025-03-16,Sandwich
M000113,2023,25,50,1337.43,2023-12-27,Merchandise
M000113,2024,26,26,4024.9,2024-12-04,Dessert
M000113,2025,21,21,2060.2,2025-03-13,Dessert
M000114,2023,16,16,1001.04,2023-12-01,Pastry
M000114,2024,17,51,3624.39,2024-12-02,Pastry
M000114,2025,10,30,1338.05,2025-03-26,Pastry
M000115,2022,8,24,671.08,2022-12-19,Sandwich
M000115,2023,9,27,520.15,2023-12-11,Beverage
M000115,2024,7,7,454.88,2024-12-16,Pastry
M000116,2021,10,10,2496.33,2021-12-07,Dessert
M000116,2022,13,13,2776.63,2022-12-06,Pastry
M000116,2024,19,19,4480.41,2024-12-16,Coffee
M000116,2025,17,17,1638.96,2025-03-01,Sandwich
M000117,2025,14,42,2126.29,2025-03-04,Beverage
M000118,2022,2,6,503.87,2022-12-03,Beverage
M000118,2023,4,8,506.39,2023-12-14,Coffee
M000118,2024,2,2,479.79,2024-12-10,Pastry
M000118,2025,4,4,344.07,2025-03-06,Pastry
M000119,2024,14,14,1196.71,2024-12-24,Merchandise
M000119,2025,19,38,2399.18,2025-03-27,Beverage
M000120,2025,8,8,1151.66,2025-03-01,Pastry
M000121,2021,16,48,3302.04,2021-12-11,Coffee
M000121,2022,12,24,1826.93,2022-12-21,Beverage
M000121,2023,14,42,2650.17,2023-12-22,Pastry
M000121,2024,15,45,2096.59,2024-12-18,Sandwich
M000121,2025,11,11,2131.17,2025-03-04,Sandwich
M000122,2021,18,54,5049.84,2021-12-03,Pastry
M000122,2022,18,36,5370.15,2022-12-23,Sandwich
M000122,2023,18,36,2048.85,2023-12-18,Beverage
M000122,2024,18,54,2795.85,2024-12-07,Beverage
M000122,2025,10,10,1750.5,2025-03-09,Sandwich
M000123,2021,5,15,1186.5,2021-12-15,Merchandise
M000123,2022,5,15,386.92,2022-12-02,Beverage
M000123,2023,9,9,642.95,2023-12-10,Coffee
M000123,2025,9,9,1334.34,2025-03-24,Merchandise
M000124,2024,2,4,589.82,2024-12-09,Dessert
M000124,2025,4,8,649.05,2025-03-02,Dessert
M000125,2025,2,6,582.73,2025-03-14,Sandwich
M000126,2025,6,6,1371.62,2025-03-01,Pastry
M000127,2023,12,12,2830.44,2023-12-16,Merchandise
M000127,2024,12,12,1677.84,2024-12-11,Coffee
M000127,2025,13,13,848.12,2025-03-01,Dessert
M000128,2025,13,26,3067.27,2025-03-13,Beverage
M000129,2024,1,3,51.21,2024-12-17,Dessert
M000129,2025,5,5,401.65,2025-03-04,Beverage
M000130,2022,5,15,1443.68,2022-12-28,Coffee
M000130,2023,10,30,880.67,2023-12-08,Pastry
M000130,2024,6,12,1413.25,2024-12-19,Merchandise
M000130,2025,9,27,1484.62,2025-03-23,Dessert
M000131,2023,10,20,1250.5,2023-12-27,Coffee
M000131,2024,9,18,1530.07,2024-12-09,Beverage
M000131,2025,5,5,1401.7,2025-03-27,Dessert
M000132,2021,2,2,317.28,2021-12-04,Merchandise
M000132,2022,4,4,1129.57,2022-12-17,Coffee
M000132,2023,5,15,1057.2,2023-12-23,Sandwich
M000132,2024,2,6,581.43,2024-12-10,Pastry
M000132,2025,2,6,229.89,2025-03-28,Merchandise
M000133,2022,2,4,306.44,2022-12-01,Beverage
M000133,2023,5,15,996.54,2023-12-10,Dessert
M000133,2024,3,6,473.96,2024-12-05,Merchandise
M000133,2025,2,4,540.62,2025-03-24,Coffee
M000134,2024,10,30,2775.62,2024-12-23,Dessert
M000134,2025,6,18,633.74,2025-03-15,Dessert
M000135,2023,29,29,2532.37,2023-12-13,Pastry
M000135,2025,35,70,7777.24,2025-03-05,Beverage
M000136,2022,7,21,2049.14,2022-12-14,Sandwich
M000136,2023,6,12,1793.62,2023-12-01,Coffee
M000136,2024,6,18,442.05,2024-12-25,Dessert
M000136,2025,9,27,1197.04,2025-03-18,Coffee
M000137,2021,5,15,470.86,2021-12-21,Sandwich
M000137,2022,5,10,1081.95,2022-12-13,Coffee
M000137,2023,5,10,1002.02,2023-12-08,Coffee
M000137,2024,8,8,507.56,2024-12-05,Dessert
M000137,2025,5,5,362.16,2025-03-24,Pastry
M000138,2021,12,36,2805.02,2021-12-21,Beverage
M000138,2022,10,30,2761.12,2022-12-18,Merchandise
M000138,2023,17,51,2674.88,2023-12-25,Sandwich
M000138,2024,14,28,2036.42,2024-12-02,Sandwich
M000138,2025,12,24,1856.89,2025-03-08,Merchandise
M000139,2025,5,5,1027.55,2025-03-11,Pastry
M000140,2024,40,40,11640.39,2024-12-10,Beverage
M000140,2025,28,28,3848.06,2025-03-14,Coffee
M000141,2023,33,99,3044.88,2023-12-11,Coffee
M000141,2024,24,48,5209.07,2024-12-06,Beverage
M000141,2025,20,60,2959.92,2025-03-14,Merchandise
M000142,2025,3,9,737.38,2025-03-05,Pastry
M000143,2021,5,15,1349.15,2021-12-14,Dessert
M000143,2022,7,21,863.54,2022-12-15,Coffee
M000143,2023,9,9,1888.0,2023-12-12,Coffee
M000144,2022,8,16,2347.11,2022-12-05,Pastry
M000144,2023,7,7,888.3,2023-12-10,Merchandise
M000144,2024,10,20,1869.21,2024-12-04,Pastry
M000145,2023,3,9,703.69,2023-12-12,Pastry
M000145,2024,5,5,271.49,2024-12-13,Merchandise
M000145,2025,3,9,763.77,2025-03-25,Coffee
M000146,2022,5,10,1217.64,2022-12-18,Dessert
M000146,2023,2,2,528.59,2023-12-14,Pastry
M000146,2024,3,9,590.07,2024-12-10,Dessert
M000146,2025,5,5,1155.02,2025-03-17,Dessert
M000147,2022,8,24,446.4,2022-12-13,Beverage
M000147,2023,5,10,1308.43,2023-12-27,Coffee
M000147,2024,6,6,541.5,2024-12-12,Sandwich
M000148,2022,10,10,1117.84,2022-12-01,Coffee
M000148,2023,5,10,1014.13,2023-12-17,Beverage
M000148,2025,5,15,1162.48,2025-03-28,Dessert
M000149,2025,1,1,90.79,2025-03-23,Pastry
M000150,2022,4,12,1028.07,2022-12-20,Dessert
M000150,2023,1,1,72.37,2023-12-09,Coffee
M000150,2024,2,4,559.49,2024-12-16,Coffee
M000150,2025,4,12,298.9,2025-03-27,Beverage
M000151,2024,37,74,2271.68,2024-12-24,Coffee
M000151,2025,44,88,11925.17,2025-03-05,Sandwich
M000152,2023,5,5,1152.2,2023-12-09,Coffee
M000152,2024,3,9,499.99,2024-12-17,Sandwich
M000152,2025,1,3,80.12,2025-03-07,Beverage
M000153,2023,3,9,274.24,2023-12-04,Coffee
M000153,2024,2,6,364.24,2024-12-28,Beverage
M000153,2025,1,2,84.4,2025-03-15,Dessert
M000154,2021,10,10,1669.87,2021-12-14,Coffee
M000154,2022,9,27,1601.97,2022-12-25,Dessert
M000154,2023,6,6,1640.64,2023-12-22,Dessert
M000154,2024,9,27,2672.65,2024-12-09,Beverage
M000154,2025,5,15,497.46,2025-03-11,Pastry
M000155,2025,23,23,2196.85,2025-03-10,Dessert
M000156,2022,3,6,800.35,2022-12-17,Coffee
M000156,2024,3,3,748.8,2024-12-05,Pastry
M000156,2025,2,2,585.14,2025-03-04,Beverage
M000157,2021,8,24,1737.78,2021-12-13,Dessert
M000157,2022,8,16,1196.82,2022-12-16,Coffee
M000157,2023,8,24,1765.28,2023-12-03,Beverage
M000157,2024,5,5,972.58,2024-12-12,Merchandise
M000157,2025,6,6,782.78,2025-03-24,Coffee
M000158,2023,14,14,2059.38,2023-12-01,Beverage
M000158,2024,13,13,1832.93,2024-12-27,Merchandise
M000158,2025,14,14,1687.24,2025-03-07,Merchandise
M000159,2025,1,3,184.55,2025-03-08,Dessert
M000160,2025,18,36,3165.25,2025-03-08,Coffee
M000161,2022,9,9,2281.61,2022-12-11,Pastry
M000161,2023,5,10,845.34,2023-12-12,Merchandise
M000161,2024,8,24,981.6,2024-12-23,Pastry
M000162,2023,7,7,892.25,2023-12-03,Coffee
M000162,2024,5,10,1390.1,2024-12-14,Sandwich
M000162,2025,6,12,1058.35,2025-03-26,Dessert
M000163,2022,5,10,840.57,2022-12-18,Sandwich
M000163,2023,5,5,932.51,2023-12-03,Beverage
M000163,2024,7,7,584.48,2024-12-19,Sandwich
M000163,2025,8,24,596.92,2025-03-12,Sandwich
M000164,2021,10,10,2406.07,2021-12-26,Dessert
M000164,2022,6,18,875.03,2022-12-05,Sandwich
M000164,2023,8,24,2085.15,2023-12-12,Sandwich
M000164,2024,8,16,682.69,2024-12-12,Coffee
M000164,2025,5,10,504.47,2025-03-27,Dessert
M000165,2023,3,6,754.13,2023-12-25,Merchandise
M000165,2024,2,4,432.29,2024-12-02,Pastry
M000166,2024,18,18,4393.43,2024-12-15,Sandwich
M000166,2025,14,42,3663.37,2025-03-23,Beverage
M000167,2024,8,8,724.0,2024-12-06,Sandwich
M000167,2025,8,24,1456.15,2025-03-05,Beverage
M000168,2024,5,10,1496.29,2024-12-15,Beverage
M000168,2025,2,2,322.66,2025-03-13,Merchandise
M000169,2023,4,4,1059.67,2023-12-23,Pastry
M000169,2024,2,6,374.24,2024-12-13,Beverage
M000169,2025,2,4,401.87,2025-03-07,Dessert
M000170,2022,9,18,1816.61,2022-12-14,Merchandise
M000170,2023,7,21,1957.41,2023-12-17,Beverage
M000170,2024,6,6,386.3,2024-12-11,Sandwich
M000170,2025,7,7,956.99,2025-03-01,Merchandise
M000171,2025,9,9,1517.1,2025-03-19,Beverage
M000172,2023,3,9,790.32,2023-12-14,Sandwich
M000172,2024,3,3,661.36,2024-12-24,Sandwich
M000172,2025,1,3,168.42,2025-03-20,Beverage
M000173,2021,7,14,795.71,2021-12-14,Coffee
M000173,2022,5,5,1288.97,2022-12-17,Sandwich
M000173,2023,6,12,1424.37,2023-12-05,Beverage
M000173,2024,6,6,1359.25,2024-12-06,Merchandise
M000173,2025,5,10,1287.67,2025-03-21,Beverage
M000174,2022,1,2,76.65,2022-12-06,Coffee
M000174,2023,2,6,541.52,2023-12-12,Coffee
M000174,2024,5,10,971.41,2024-12-08,Coffee
M000174,2025,1,2,288.84,2025-03-01,Pastry
M000175,2025,6,6,344.38,2025-03-06,Merchandise
M000176,2022,5,15,267.39,2022-12-09,Pastry
M000176,2023,3,6,771.62,2023-12-02,Beverage
M000176,2024,1,2,166.14,2024-12-25,Coffee
M000176,2025,1,2,280.96,2025-03-15,Coffee
M000177,2025,10,10,2853.41,2025-03-10,Dessert
M000178,2021,6,12,1552.7,2021-12-06,Sandwich
M000178,2022,8,24,847.75,2022-12-04,Beverage
M000178,2023,7,14,1108.15,2023-12-08,Dessert
M000178,2025,10,20,2390.58,2025-03-11,Sandwich
M000179,2024,48,96,9789.39,2024-12-20,Dessert
M000179,2025,42,126,4399.33,2025-03-20,Pastry
M000180,2023,2,4,190.09,2023-12-28,Coffee
M000180,2024,5,5,1277.81,2024-12-08,Sandwich
M000180,2025,3,9,762.83,2025-03-02,Pastry
M000181,2021,10,20,1631.41,2021-12-21,Sandwich
